latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
52.17261,10.42132,301.95,2.19,1.44,2021-08-24,0054,A,21,6.1NRT,282.28,22.2,N
52.15966,10.41945,302.01,2.19,1.44,2021-08-24,0054,A,32,6.1NRT,283.31,22.66,N
52.16046,10.41502,303.7,2.19,1.44,2021-08-24,0054,A,56,6.1NRT,283.69,27.38,N
51.50495,7.19688,302.15,3.13,1.68,2021-08-24,0054,A,47,6.1NRT,283.05,39.33,N
44.49443,22.87674,312.5,1.37,1.16,2021-08-24,0056,A,85,6.1NRT,291,17.94,N
44.49117,22.89353,321.63,1.37,1.16,2021-08-24,0056,A,100,6.1NRT,291.07,31.03,N
44.48425,22.87328,302.34,1.37,1.16,2021-08-24,0056,A,48,6.1NRT,290.55,8.37,N
44.48101,22.8899,309.13,1.37,1.16,2021-08-24,0056,A,76,6.1NRT,290.42,15.21,N
42.94879,18.79228,314.88,1.04,1.02,2021-08-24,0056,A,90,6.1NRT,287.72,15.47,N
42.94678,18.80468,306.26,1.04,1.02,2021-08-24,0056,A,58,6.1NRT,288.34,8.7,N
42.94476,18.81709,310.71,1.04,1.02,2021-08-24,0056,A,81,6.1NRT,287.61,12.1,N
42.93983,18.7896,305.05,1.04,1.02,2021-08-24,0056,A,57,6.1NRT,288.52,7.85,N
42.91462,18.72266,300.34,1.04,1.02,2021-08-24,0056,A,25,6.1NRT,287.23,5.37,N
42.65461,19.29223,315.25,1.07,1.03,2021-08-24,0056,A,91,6.1NRT,286.08,16.42,N
42.65249,19.30503,309.59,1.07,1.03,2021-08-24,0056,A,78,6.1NRT,285.98,11.57,N
42.6434,19.3022,307.81,1.07,1.03,2021-08-24,0056,A,73,6.1NRT,286.92,10.7,N
42.65857,18.9229,301.35,1.05,1.02,2021-08-24,0056,A,34,6.1NRT,266.67,8.04,N
42.46167,19.59704,301.77,1.1,1.05,2021-08-24,0056,A,44,6.1NRT,291.74,5.21,N
42.64318,18.38218,309.17,1.03,1.01,2021-08-24,0056,A,68,6.1NRT,288.86,9.72,N
42.62938,18.35855,313.43,1.02,1.01,2021-08-24,0056,A,81,6.1NRT,290.69,12.17,N
42.62044,18.35606,327.8,1.02,1.01,2021-08-24,0056,A,100,6.1NRT,291.71,27.22,N
42.6185,18.36833,323,1.03,1.01,2021-08-24,0056,A,100,6.1NRT,292.01,21.32,N
42.61658,18.38046,306.8,1.03,1.01,2021-08-24,0056,A,64,6.1NRT,291.24,7.64,N
42.60765,18.37787,302.06,1.03,1.01,2021-08-24,0056,A,10,6.1NRT,290.21,4.82,N
42.60572,18.38997,303.31,1.03,1.01,2021-08-24,0056,A,25,6.1NRT,290.31,5.75,N
42.06734,20.20089,307.85,1.17,1.08,2021-08-24,0056,A,16,6.1NRT,291.45,9.21,N
42.06505,20.21378,326.46,1.17,1.08,2021-08-24,0056,A,100,6.1NRT,291.25,30.27,N
